Wind_turbine_name;Date_time;Ba_avg;Ba_min;Ba_max;Ba_std;Rt_avg;Rt_min;Rt_max;Rt_std;DCs_avg;DCs_min;DCs_max;DCs_std;Cm_avg;Cm_min;Cm_max;Cm_std;P_avg;P_min;P_max;P_std;Q_avg;Q_min;Q_max;Q_std;S_avg;S_min;S_max;S_std;Cosphi_avg;Cosphi_min;Cosphi_max;Cosphi_std;Ds_avg;Ds_min;Ds_max;Ds_std;Db1t_avg;Db1t_min;Db1t_max;Db1t_std;Db2t_avg;Db2t_min;Db2t_max;Db2t_std;Dst_avg;Dst_min;Dst_max;Dst_std;Gb1t_avg;Gb1t_min;Gb1t_max;Gb1t_std;Gb2t_avg;Gb2t_min;Gb2t_max;Gb2t_std;Git_avg;Git_min;Git_max;Git_std;Gost_avg;Gost_min;Gost_max;Gost_std;Ya_avg;Ya_min;Ya_max;Ya_std;Yt_avg;Yt_min;Yt_max;Yt_std;Ws1_avg;Ws1_min;Ws1_max;Ws1_std;Ws2_avg;Ws2_min;Ws2_max;Ws2_std;Ws_avg;Ws_min;Ws_max;Ws_std;Wa_avg;Wa_min;Wa_max;Wa_std;Va1_avg;Va1_min;Va1_max;Va1_std;Va2_avg;Va2_min;Va2_max;Va2_std;Va_avg;Va_min;Va_max;Va_std;Ot_avg;Ot_min;Ot_max;Ot_std;Nf_avg;Nf_min;Nf_max;Nf_std;Nu_avg;Nu_min;Nu_max;Nu_std;Rs_avg;Rs_min;Rs_max;Rs_std;Rbt_avg;Rbt_min;Rbt_max;Rbt_std;Rm_avg;Rm_min;Rm_max;Rm_std;Pas_avg;Pas_min;Pas_max;Pas_std;Wa_c_avg;Wa_c_min;Wa_c_max;Wa_c_std;Na_c_avg;Na_c_min;Na_c_max;Na_c_std
R80711;2018-01-05T10:30:00-06:00;-0.99;-0.99;-0.99;0.0;15.97;15.27;16.0;0.09;1635.94;1494.93;1760.63;53.89;3232.33;2554.68;3866.74;242.82;541.32;379.27;703.4;61.34;4.65;-2.78;12.84;2.75;541.37;379.43;703.4;61.31;1.0;-1.0;1.0;0.0;1635.47;1494.42;1760.12;53.9;42.14;40.1;44.3;1.15;37.11;36.0;38.4;0.65;59.86;57.35;62.7;1.13;70.94;70.6;71.4;0.18;73.61;73.3;74.05;0.18;58.48;57.9;58.95;0.15;63.82;63.1;64.1;0.11;205.24;205.24;205.24;0.0;16.04;15.2;16.9;0.47;6.93;5.06;9.6;0.73;6.62;4.55;8.94;0.74;6.77;4.95;9.18;0.7;209.37;136.42;252.79;10.57;4.11;-68.83;47.55;10.57;4.11;-68.83;47.55;10.57;;;;;8.08;7.9;8.1;0.04;49.99;49.97;50.01;0.01;704.87;703.9;705.75;0.4;15.6;14.23;16.81;0.52;28.76;28.7;28.9;0.05;3152.55;2411.12;3828.45;260.26;;;;;;;;;;;;
R80711;2018-01-05T11:40:00-06:00;-0.99;-0.99;-0.99;0.0;15.02;15.0;16.0;0.1;1514.0;1401.95;1675.11;61.31;2738.38;2289.63;3447.48;252.02;418.15;315.95;590.48;60.53;12.85;0.85;21.34;4.41;418.42;316.53;590.5;60.4;1.0;-1.0;1.0;0.0;1513.47;1401.2;1674.49;61.35;44.99;44.05;45.95;0.44;38.92;38.5;39.4;0.21;60.58;58.85;62.35;0.56;70.96;70.45;71.55;0.32;72.25;71.8;72.9;0.38;59.98;59.25;60.55;0.24;63.69;63.15;64.0;0.13;213.78;206.34;220.61;7.03;28.36;28.0;28.6;0.17;6.7;4.44;8.95;0.71;6.24;4.39;8.39;0.67;6.47;4.42;8.48;0.65;203.38;179.04;243.87;9.14;-2.93;-29.56;35.99;11.84;-2.93;-29.56;35.99;11.84;;;;;8.02;7.9;8.1;0.08;50.0;49.97;50.02;0.01;703.62;701.66;705.2;0.82;14.43;13.35;15.99;0.59;29.28;29.1;29.3;0.04;2627.8;2145.81;3390.02;272.43;;;;;;;;;;;;
R80711;2018-01-05T12:00:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1369.98;1271.49;1564.74;66.41;2219.02;1864.65;2974.98;223.85;295.34;220.01;469.91;52.19;14.68;3.99;20.35;2.83;295.76;220.67;469.95;52.07;1.0;1.0;0.99;0.0;1369.32;1270.78;1564.28;66.48;47.82;46.85;48.8;0.39;40.43;39.95;40.9;0.22;63.32;61.65;64.9;0.55;70.5;69.5;71.5;0.59;71.58;70.6;72.6;0.71;59.95;59.5;60.7;0.23;63.66;63.3;64.1;0.19;206.34;206.34;206.34;0.0;29.33;29.2;29.5;0.07;5.87;4.18;7.86;0.64;5.52;3.83;8.02;0.68;5.69;4.01;7.66;0.63;208.57;161.72;245.1;10.95;2.25;-44.62;38.76;10.95;2.25;-44.62;38.76;10.95;;;;;7.99;7.9;8.1;0.07;50.01;49.99;50.03;0.01;704.24;703.31;705.43;0.44;13.05;12.1;14.93;0.64;29.31;29.3;29.4;0.02;2047.57;1653.95;2868.02;251.34;;;;;;;;;;;;
R80711;2018-01-05T12:30:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1399.38;1263.95;1534.88;52.39;2340.03;1809.54;2874.67;197.19;318.81;208.68;442.94;43.88;16.76;6.27;23.09;2.8;319.31;209.74;443.13;43.74;1.0;1.0;0.99;0.0;1398.73;1263.22;1534.41;52.44;43.28;41.0;45.55;1.21;37.7;36.3;39.0;0.72;60.55;57.75;63.25;1.21;67.44;66.75;68.2;0.32;69.81;69.3;70.45;0.31;56.07;55.0;57.05;0.43;62.21;61.7;62.7;0.22;206.34;206.34;206.34;0.0;16.22;15.4;17.4;0.55;6.29;4.49;9.18;0.77;5.79;4.1;7.67;0.66;6.04;4.35;8.42;0.69;202.14;170.99;274.68;10.19;-4.21;-35.35;68.34;10.19;-4.21;-35.35;68.34;10.19;;;;;7.76;7.6;7.8;0.07;50.01;50.0;50.03;0.01;704.39;702.04;706.88;1.51;13.33;12.04;14.65;0.5;28.77;28.5;29.0;0.08;2168.77;1573.35;2765.16;219.76;;;;;;;;;;;;
R80711;2018-01-05T12:40:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1429.87;1219.95;1551.58;71.25;2450.76;1651.59;2973.6;268.45;345.49;182.16;460.6;59.9;15.77;7.2;25.29;3.58;345.94;183.73;460.68;59.65;1.0;1.0;0.99;0.0;1429.27;1219.24;1551.13;71.32;39.34;37.3;41.4;1.07;35.35;34.2;36.5;0.63;56.65;54.25;59.25;1.13;66.78;66.25;67.1;0.16;69.34;68.9;69.6;0.15;55.15;54.45;56.0;0.37;61.59;61.2;61.95;0.18;206.34;206.34;206.34;0.0;14.78;14.3;15.4;0.3;6.38;4.21;9.1;0.81;5.81;3.8;8.12;0.73;6.1;4.01;8.6;0.75;202.19;173.35;240.12;8.82;-4.15;-32.99;33.78;8.82;-4.15;-32.99;33.78;8.82;;;;;7.6;7.55;7.7;0.01;50.0;49.98;50.03;0.01;702.86;701.85;704.04;0.48;13.62;11.6;14.79;0.68;28.46;28.3;28.7;0.06;2294.2;1417.94;2852.35;299.07;;;;;;;;;;;;
R80711;2018-01-05T13:20:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1551.45;1309.42;1760.82;109.73;2900.73;1949.4;3836.67;440.02;460.7;239.66;698.75;109.53;11.66;-0.26;23.12;5.41;460.94;240.35;698.75;109.33;1.0;1.0;0.99;0.0;1550.93;1308.69;1760.32;109.79;41.42;40.4;42.5;0.5;36.8;36.25;37.4;0.27;56.99;55.55;58.4;0.53;70.2;69.45;71.0;0.29;71.57;71.0;72.4;0.28;58.58;58.05;59.2;0.22;62.23;61.95;62.6;0.15;206.34;206.34;206.34;0.0;26.58;26.1;27.1;0.3;6.77;4.45;9.09;0.93;6.21;4.01;8.44;0.82;6.49;4.45;8.56;0.85;201.78;171.39;238.96;9.97;-4.56;-34.95;32.62;9.97;-4.56;-34.95;32.62;9.97;;;;;7.6;7.6;7.8;0.02;49.99;49.96;50.03;0.02;705.15;703.39;706.41;0.69;14.79;12.46;16.82;1.05;29.08;29.0;29.2;0.03;2803.79;1715.5;3801.27;480.7;;;;;;;;;;;;
R80711;2018-01-05T13:30:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1496.55;1331.32;1641.57;82.67;2674.31;2038.55;3319.13;318.29;403.8;261.92;558.65;75.5;15.54;4.28;26.52;4.84;404.2;262.69;558.78;75.27;1.0;1.0;0.99;0.0;1496.0;1330.71;1641.14;82.75;43.1;41.95;44.2;0.5;37.65;37.15;38.2;0.24;58.51;57.05;60.2;0.54;70.64;69.7;71.25;0.37;71.98;70.8;72.6;0.52;58.88;58.35;59.3;0.14;62.49;61.95;62.75;0.1;206.34;206.34;206.34;0.0;27.42;27.0;27.6;0.13;6.3;3.84;8.97;0.94;5.86;4.07;8.15;0.81;6.08;4.11;8.56;0.85;205.73;164.56;235.17;10.24;-0.58;-41.79;28.83;10.24;-0.58;-41.79;28.83;10.24;;;;;7.67;7.6;7.8;0.08;50.0;49.98;50.02;0.01;705.36;704.34;706.53;0.46;14.26;12.68;15.66;0.79;29.26;29.1;29.35;0.07;2558.88;1859.4;3258.78;350.45;;;;;;;;;;;;
R80711;2018-01-05T13:40:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1466.28;1262.39;1664.15;87.74;2571.64;1766.12;3431.99;348.11;378.52;206.8;587.51;81.26;17.2;3.47;28.27;5.61;379.04;208.24;587.52;80.97;1.0;1.0;0.99;0.0;1465.69;1261.58;1663.59;87.81;44.6;43.55;45.7;0.44;38.46;37.9;38.9;0.23;59.96;58.5;61.6;0.56;69.76;69.2;70.3;0.24;70.78;70.35;71.3;0.24;58.72;58.3;59.45;0.17;62.36;61.9;62.7;0.09;206.34;206.34;206.34;0.0;27.88;27.6;28.3;0.15;6.35;4.52;9.19;0.74;5.87;4.19;8.82;0.72;6.11;4.36;9.01;0.7;204.53;165.8;242.25;11.15;-1.81;-40.54;35.91;11.15;-1.81;-40.54;35.91;11.15;;;;;7.8;7.7;7.8;0.0;49.98;49.95;50.02;0.01;705.1;703.93;706.24;0.47;13.97;12.01;15.87;0.84;29.31;29.3;29.4;0.03;2444.25;1558.46;3376.67;381.66;;;;;;;;;;;;
R80711;2018-01-05T14:10:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1621.36;1465.75;1741.09;59.34;3150.26;2464.39;3716.49;262.59;524.59;361.38;660.39;64.48;12.72;1.81;28.18;4.39;524.79;362.32;660.41;64.33;1.0;1.0;1.0;0.0;1620.88;1465.13;1740.63;59.36;48.76;47.8;49.75;0.45;40.67;40.15;41.2;0.24;64.29;62.85;66.15;0.6;72.05;71.3;72.5;0.26;73.4;72.65;73.8;0.25;59.93;59.1;60.65;0.17;63.23;62.95;63.5;0.13;206.34;206.34;206.34;0.0;29.57;29.3;30.0;0.24;6.78;4.31;9.19;0.8;6.17;4.01;8.52;0.71;6.48;4.19;8.84;0.72;202.06;178.36;248.25;9.13;-4.27;-27.98;41.91;9.13;-4.27;-27.98;41.91;9.13;;;;;7.89;7.8;7.9;0.02;49.97;49.94;50.01;0.02;705.58;704.25;706.53;0.32;15.46;13.96;16.61;0.57;29.38;29.3;29.6;0.04;3081.13;2353.77;3643.6;278.42;;;;;;;;;;;;
R80711;2018-01-05T14:50:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1521.86;1303.54;1709.04;119.87;2803.29;1933.49;3644.77;460.31;434.74;241.96;639.92;112.77;13.42;-0.27;25.94;6.62;435.1;242.82;639.92;112.47;1.0;-1.0;0.99;0.0;1521.32;1302.79;1708.65;119.96;37.24;36.5;38.6;0.53;34.21;33.75;34.9;0.23;54.42;53.1;56.4;0.74;67.62;66.8;68.8;0.54;69.85;69.0;71.2;0.56;56.37;54.7;57.75;0.81;61.4;61.05;61.95;0.14;193.84;185.49;198.66;6.26;17.38;14.3;21.1;2.42;6.4;4.15;8.81;0.84;6.21;4.05;8.56;0.79;6.3;4.17;8.36;0.78;207.4;166.61;334.41;11.79;8.75;-32.05;135.75;13.44;8.75;-32.05;135.75;13.44;;;;;7.79;7.6;7.85;0.04;50.0;49.97;50.01;0.01;707.01;704.8;708.16;0.82;14.5;12.41;16.31;1.15;28.74;28.7;28.8;0.04;2689.83;1748.1;3594.97;508.25;;;;;;;;;;;;
R80711;2018-01-05T15:10:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1294.47;1147.49;1676.4;145.25;2014.8;1474.0;3494.32;530.57;254.03;145.94;599.26;118.37;17.76;-2.82;26.03;6.03;254.97;148.16;599.27;117.88;0.99;-1.0;0.98;0.0;1293.74;1146.67;1676.03;145.35;39.28;38.4;40.3;0.42;35.72;35.2;36.2;0.24;55.63;54.1;57.35;0.57;67.1;66.25;68.1;0.52;67.93;66.9;69.2;0.66;57.34;56.6;57.8;0.22;61.07;60.6;61.45;0.19;198.66;198.66;198.66;0.0;24.56;23.9;25.3;0.38;5.7;3.81;9.01;0.93;5.32;3.67;8.39;0.89;5.51;3.79;8.7;0.89;197.4;134.42;266.84;12.45;-1.26;-64.23;68.18;12.45;-1.26;-64.23;68.18;12.45;;;;;7.82;7.8;7.9;0.03;49.97;49.93;50.0;0.02;707.1;705.82;708.45;0.55;12.32;10.91;16.0;1.39;29.0;29.0;29.1;0.01;1809.93;1210.61;3421.19;586.09;;;;;;;;;;;;
R80711;2018-01-05T15:30:00-06:00;-0.96;-0.99;-0.28;0.12;15.0;15.0;15.0;0.0;1223.84;966.19;1488.81;174.31;1738.38;712.52;2756.08;575.23;205.65;35.48;407.75;106.7;22.14;9.38;32.25;5.11;207.92;43.01;408.0;104.75;0.99;1.0;0.84;0.03;1223.07;965.37;1488.26;174.44;42.24;41.3;43.15;0.43;37.34;36.85;37.85;0.23;58.74;57.3;60.15;0.53;66.5;65.0;67.35;0.57;67.57;65.6;68.5;0.73;56.7;54.65;57.75;0.85;60.71;60.15;61.05;0.22;198.66;198.66;198.66;0.0;26.44;26.0;26.65;0.2;5.29;3.64;8.59;0.94;5.09;3.55;8.52;0.85;5.19;3.6;8.53;0.88;209.2;167.2;257.11;17.27;10.55;-31.46;58.45;17.27;10.55;-31.46;58.45;17.27;;;;;7.88;7.8;7.9;0.03;50.01;49.98;50.04;0.01;707.06;704.54;708.77;1.24;11.65;9.18;14.19;1.67;28.82;28.8;29.0;0.06;1515.77;351.34;2627.87;637.25;;;;;;;;;;;;
R80711;2018-01-05T15:40:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1354.92;1054.7;1537.08;132.02;2203.76;1295.5;2911.5;435.76;294.3;111.02;448.42;93.91;15.88;2.41;31.1;5.23;295.0;113.08;448.59;93.29;1.0;1.0;0.97;0.01;1354.25;1053.68;1536.57;132.14;43.57;42.65;44.6;0.4;38.07;37.6;38.55;0.24;60.41;59.15;61.85;0.51;66.18;64.8;67.1;0.75;67.21;65.15;68.6;1.22;56.83;55.9;57.65;0.47;60.48;59.95;60.8;0.19;198.66;198.66;198.66;0.0;26.92;26.6;27.2;0.21;5.82;4.11;7.92;0.77;5.57;3.68;7.84;0.72;5.7;3.9;7.82;0.72;203.87;164.14;235.82;10.93;5.21;-34.52;37.16;10.93;5.21;-34.52;37.16;10.93;;;;;7.87;7.8;7.9;0.04;49.97;49.95;49.99;0.01;705.5;703.43;706.69;0.58;12.9;10.03;14.68;1.27;28.74;28.7;28.8;0.04;2028.42;1006.83;2804.54;487.64;;;;;;;;;;;;
R80711;2018-01-05T16:10:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1340.58;1211.77;1476.17;64.93;2127.42;1673.0;2627.54;217.12;274.11;182.87;386.61;47.48;14.0;5.92;21.14;3.03;274.54;183.94;386.73;47.28;1.0;1.0;0.99;0.0;1339.89;1210.94;1475.71;64.98;47.58;46.7;48.4;0.38;40.31;39.9;40.8;0.2;64.09;62.45;65.5;0.49;67.9;67.35;68.4;0.33;68.99;68.0;69.85;0.6;57.67;57.1;58.15;0.17;60.84;60.45;61.15;0.17;198.66;198.66;198.66;0.0;28.86;28.6;29.0;0.11;5.75;3.98;7.47;0.57;5.44;4.07;7.37;0.56;5.6;4.14;7.03;0.52;200.74;165.22;270.15;11.11;2.06;-33.44;71.49;11.11;2.06;-33.44;71.49;11.11;;;;;7.9;7.85;7.9;0.0;49.96;49.94;49.99;0.01;708.25;706.32;709.58;0.7;12.77;11.52;14.08;0.62;28.5;28.5;28.6;0.01;1941.9;1437.28;2508.08;244.96;;;;;;;;;;;;
R80711;2018-01-05T16:50:00-06:00;-0.69;-0.99;0.01;0.45;15.0;15.0;15.0;0.0;1045.99;966.61;1195.14;77.48;1072.43;368.37;1728.42;417.95;86.4;4.56;180.13;54.17;15.17;2.82;23.91;2.76;89.12;7.27;180.58;52.02;0.99;1.0;0.96;0.01;1045.1;965.74;1194.34;77.53;37.54;35.9;39.3;0.91;34.11;33.1;35.2;0.55;56.19;54.55;58.2;0.84;60.59;58.7;61.6;0.87;61.99;59.9;63.0;0.95;52.99;51.9;53.75;0.4;57.39;56.65;58.0;0.38;198.66;198.66;198.66;0.0;13.95;13.4;14.4;0.25;4.48;2.94;6.52;0.73;4.17;2.64;6.12;0.68;4.33;2.81;6.31;0.69;199.48;156.92;261.9;13.73;0.85;-41.74;63.24;13.73;0.85;-41.74;63.24;13.73;;;;;7.6;7.6;7.7;0.01;50.01;49.98;50.03;0.01;707.36;706.22;708.99;0.51;9.95;9.18;11.39;0.74;27.03;26.8;27.3;0.13;759.16;44.93;1447.93;436.62;;;;;;;;;;;;
R80711;2018-01-05T17:10:00-06:00;-0.99;-0.99;-0.99;0.0;15.0;15.0;15.0;0.0;1118.02;979.56;1251.22;76.88;1433.91;997.69;1879.65;233.39;137.82;71.5;215.64;39.52;17.87;11.76;25.52;2.65;139.24;75.12;216.15;38.85;0.99;1.0;0.94;0.01;1117.17;978.67;1250.43;76.94;35.9;35.2;36.7;0.35;33.29;32.9;33.75;0.23;53.91;52.95;54.85;0.33;60.35;60.0;60.8;0.15;61.29;60.9;61.8;0.21;53.09;52.65;54.1;0.3;56.49;55.45;56.7;0.12;198.66;198.66;198.66;0.0;21.96;20.5;23.1;0.77;5.13;3.53;6.83;0.61;4.64;2.89;6.03;0.56;4.88;3.23;6.41;0.57;192.84;126.7;242.29;10.8;-5.8;-71.95;43.64;10.8;-5.8;-71.95;43.64;10.8;;;;;7.6;7.55;7.6;0.0;49.95;49.92;49.97;0.01;707.37;705.68;708.84;0.79;10.64;9.3;11.91;0.74;26.85;26.8;27.0;0.07;1160.72;695.64;1651.09;256.64;;;;;;;;;;;;
R80711;2018-01-05T17:30:00-06:00;-0.86;-0.99;0.0;0.26;15.0;15.0;15.0;0.0;991.35;964.8;1117.1;33.06;938.65;586.97;1435.05;203.54;66.21;22.4;136.29;24.32;15.91;6.37;21.52;3.15;68.33;25.33;137.7;23.97;0.99;1.0;0.93;0.02;990.42;963.84;1116.37;33.08;38.66;37.8;39.5;0.38;34.66;34.3;35.3;0.2;56.32;54.85;57.6;0.56;60.11;59.05;61.2;0.63;60.3;58.8;61.7;0.87;53.55;52.9;54.15;0.26;55.94;55.5;56.4;0.21;198.66;198.66;198.66;0.0;25.0;24.7;25.3;0.17;4.56;3.54;6.0;0.42;4.1;3.15;5.73;0.39;4.33;3.34;5.81;0.39;190.09;137.31;241.97;11.64;-8.56;-61.35;43.32;11.64;-8.56;-61.35;43.32;11.64;;;;;7.62;7.6;7.8;0.04;49.99;49.96;50.01;0.01;706.9;705.08;708.6;0.97;9.43;9.17;10.64;0.32;26.85;26.8;27.0;0.06;632.66;222.26;1165.88;211.85;;;;;;;;;;;;
R80711;2018-01-01T00:10:00-06:00;-0.68;-0.99;3.55;0.66;16.79;16.0;17.0;0.33;1793.95;1721.17;1829.47;16.78;6698.29;3402.81;10973.2;2115.4;1252.39;612.49;2075.03;398.42;35.72;-9.37;79.21;18.11;1253.25;615.6;2075.03;397.74;1.0;1.0;0.99;0.0;1793.29;1720.44;1828.9;16.79;27.18;26.8;27.5;0.1;30.6;30.4;30.75;0.05;59.53;58.15;60.85;0.48;79.57;78.7;80.1;0.31;81.2;81.0;81.5;0.09;65.66;65.2;66.15;0.14;71.66;71.3;72.0;0.13;227.38;217.32;228.29;2.92;11.98;11.9;12.0;0.03;10.6;6.13;15.31;1.98;9.99;5.84;14.26;1.77;10.29;5.99;14.6;1.86;209.85;184.85;273.34;9.62;-7.44;-43.44;45.05;9.55;-7.44;-43.44;45.05;9.55;;;;;5.88;5.8;5.9;0.03;50.03;49.99;50.06;0.02;710.18;707.35;712.93;1.05;17.12;16.41;17.46;0.16;28.84;28.8;29.0;0.06;6661.41;3374.39;10883.3;2100.38;;;;;;;;;;;;
R80711;2018-01-01T01:10:00-06:00;-0.89;-1.0;0.74;0.25;16.0;16.0;16.0;0.0;1799.84;1768.54;1830.76;10.26;6972.47;3966.67;10934.7;1401.06;1309.52;739.65;2060.94;263.42;40.88;1.88;86.08;16.03;1310.38;741.65;2060.99;262.85;1.0;1.0;0.99;0.0;1799.23;1767.81;1830.35;10.27;42.18;40.9;43.05;0.52;37.59;37.1;38.1;0.22;65.45;62.85;67.8;1.38;81.52;80.35;82.35;0.52;81.95;81.4;82.3;0.24;67.44;66.4;68.7;0.7;72.18;71.55;72.55;0.22;217.32;217.32;217.32;0.0;24.56;18.7;28.6;3.71;10.51;6.8;14.04;1.38;9.88;6.43;13.04;1.28;10.2;6.62;13.54;1.31;209.58;186.45;240.72;7.21;-7.73;-30.86;23.4;7.21;-7.73;-30.86;23.4;7.21;;;;;5.91;5.85;6.1;0.03;50.01;50.0;50.03;0.01;714.3;712.71;715.66;0.54;17.17;16.86;17.48;0.1;29.82;29.7;29.9;0.09;6948.77;3955.29;10870.4;1391.44;;;;;;;;;;;;
R80711;2018-01-01T02:00:00-06:00;-0.52;-0.99;5.94;0.82;16.0;16.0;16.0;0.0;1795.53;1733.07;1842.75;16.52;7878.92;3458.07;10956.4;1883.26;1474.67;626.02;2098.24;355.7;40.56;-21.64;103.22;24.9;1475.57;627.76;2098.32;355.18;1.0;1.0;0.99;0.0;1794.92;1732.41;1842.16;16.53;31.77;31.0;32.6;0.39;32.62;32.3;33.0;0.18;61.87;60.65;63.1;0.41;79.74;79.1;80.2;0.24;81.06;80.8;81.3;0.12;65.69;65.35;66.1;0.12;71.59;71.3;71.8;0.1;211.83;211.83;211.83;0.0;12.93;12.8;13.1;0.1;10.68;5.72;15.52;1.83;10.22;6.26;14.35;1.63;10.45;6.0;14.94;1.71;209.42;178.78;246.72;10.0;-2.46;-33.05;34.89;10.0;-2.46;-33.05;34.89;10.0;;;;;6.12;5.9;6.2;0.07;50.01;49.99;50.03;0.01;704.64;701.05;706.5;1.04;17.13;16.53;17.59;0.16;29.4;29.4;29.6;0.02;7838.96;3431.28;10877.9;1871.31;;;;;;;;;;;;
R80711;2018-01-01T02:20:00-06:00;-0.76;-0.99;1.77;0.46;16.0;16.0;16.0;0.0;1788.19;1646.31;1835.39;27.62;6627.44;2979.93;10946.6;2101.17;1237.36;511.99;2069.55;398.68;43.93;-9.03;107.68;24.94;1238.66;517.19;2069.58;397.85;1.0;1.0;0.99;0.0;1787.59;1645.7;1834.9;27.64;29.61;29.0;30.25;0.27;31.48;31.1;31.9;0.18;58.45;57.1;60.05;0.59;78.76;78.05;79.6;0.39;80.57;80.35;80.9;0.11;65.14;64.7;65.55;0.14;71.02;70.7;71.4;0.18;211.83;211.83;211.83;0.0;12.57;12.5;12.6;0.04;10.18;5.59;15.66;2.04;9.62;5.32;14.61;1.83;9.9;5.5;15.13;1.92;206.49;154.58;243.46;10.86;-5.32;-57.25;31.63;10.86;-5.32;-57.25;31.63;10.86;;;;;6.28;6.1;6.4;0.1;49.99;49.97;50.0;0.01;699.94;697.47;702.93;1.03;17.06;15.69;17.52;0.27;29.25;29.1;29.3;0.07;6593.08;2950.92;10877.8;2089.95;;;;;;;;;;;;
R80711;2018-01-01T02:50:00-06:00;-0.27;-1.0;5.64;1.0;16.0;16.0;16.0;0.0;1791.24;1701.05;1843.18;21.46;7661.67;3274.17;11010.9;2457.7;1430.18;579.09;2098.6;463.68;32.64;-27.94;85.95;23.92;1430.98;583.82;2098.62;462.97;1.0;-1.0;0.99;0.0;1790.62;1700.4;1842.62;21.48;27.8;27.4;28.2;0.15;30.45;30.2;30.65;0.1;58.14;57.1;59.35;0.41;78.94;78.3;79.6;0.33;80.49;80.35;80.7;0.1;64.85;64.4;65.4;0.14;70.85;70.45;71.2;0.13;210.93;188.78;211.83;3.7;12.38;12.3;12.5;0.09;11.26;6.04;16.73;2.24;10.59;5.76;15.28;2.06;10.93;5.98;16.01;2.14;179.31;69.02;279.75;12.81;-9.42;-142.8;67.92;12.88;-9.42;-142.8;67.92;12.88;;;;;6.11;5.9;6.2;0.03;49.97;49.96;49.99;0.01;699.85;697.41;702.47;0.9;17.09;16.22;17.58;0.21;29.01;29.0;29.1;0.02;7612.31;3241.3;10905.8;2436.67;;;;;;;;;;;;
R80711;2018-01-01T03:00:00-06:00;0.25;-1.0;7.61;2.03;16.0;16.0;16.0;0.0;1796.01;1754.71;1851.25;18.21;8044.41;3629.05;10976.8;2356.24;1505.55;662.57;2109.19;444.97;38.94;-0.52;107.55;19.96;1506.43;668.64;2109.33;444.17;1.0;1.0;0.99;0.0;1795.39;1753.99;1850.79;18.22;27.5;27.2;27.8;0.12;30.3;30.1;30.45;0.05;59.0;58.1;59.8;0.33;79.3;78.5;79.6;0.24;80.62;80.35;80.8;0.08;65.24;64.55;65.7;0.14;71.0;70.6;71.3;0.11;195.58;188.78;196.46;2.4;12.3;12.25;12.5;0.02;10.97;6.26;15.85;2.01;10.58;6.5;15.64;1.99;10.78;6.56;15.72;1.97;197.16;145.27;235.12;10.66;0.71;-51.19;45.16;11.6;0.71;-51.19;45.16;11.6;;;;;6.2;6.15;6.3;0.02;49.99;49.97;50.01;0.01;699.2;696.66;701.85;1.01;17.14;16.74;17.7;0.18;29.01;29.0;29.1;0.02;7999.49;3599.1;10906.0;2340.22;;;;;;;;;;;;
R80711;2018-01-01T03:30:00-06:00;0.12;-0.99;8.41;2.14;16.0;16.0;16.0;0.0;1798.66;1758.21;1856.78;14.02;7393.02;3666.21;10965.9;2309.93;1388.1;682.04;2114.3;432.73;55.76;-13.22;141.08;29.4;1389.98;686.67;2114.3;431.27;1.0;1.0;0.98;0.0;1798.06;1757.53;1856.23;14.03;27.06;26.6;28.2;0.34;30.13;29.8;30.7;0.21;55.81;54.35;57.55;0.84;78.18;77.2;79.55;0.75;79.96;79.5;80.5;0.27;64.93;63.95;66.25;0.63;70.38;69.95;70.8;0.24;192.07;192.07;192.07;0.0;14.55;12.2;18.9;2.52;10.62;5.8;16.91;2.16;10.11;6.21;14.81;1.84;10.37;6.16;15.85;1.97;189.03;157.94;241.12;10.99;-3.1;-34.13;49.05;10.99;-3.1;-34.13;49.05;10.99;;;;;6.4;6.3;6.5;0.01;49.99;49.98;50.01;0.01;705.52;703.17;707.29;0.84;17.16;16.77;17.75;0.14;28.8;28.7;29.0;0.03;7369.15;3666.72;10897.2;2289.24;;;;;;;;;;;;
